Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2018-03-12,4380.2587890625,3222.454345703125,9205.1201171875,4725.0,3760.0,9205.1201171875,4730.0,3760.0,9937.5,4670.0,3700.0,8956.4296875,4680.0,3700.0,9602.9296875,111180500.0,144225600.0,6457399808
2018-03-13,4347.8115234375,3222.454345703125,9194.849609375,4690.0,3760.0,9194.849609375,4740.0,3770.0,9470.3798828125,4655.0,3720.0,8958.1904296875,4720.0,3760.0,9173.0400390625,80643000.0,127738800.0,5991139840
2018-03-14,4338.54150390625,3213.8837890625,8269.8095703125,4680.0,3750.0,8269.8095703125,4720.0,3750.0,9355.849609375,4645.0,3700.0,8068.58984375,4695.0,3750.0,9214.650390625,54505500.0,58574900.0,6438230016
2018-03-15,4333.90673828125,3119.60986328125,8300.8603515625,4675.0,3640.0,8300.8603515625,4685.0,3720.0,8428.349609375,4650.0,3640.0,7783.0498046875,4680.0,3700.0,8290.759765625,60774500.0,150015200.0,6834429952
2018-03-16,4329.27099609375,3153.891357421875,8338.349609375,4670.0,3680.0,8338.349609375,4735.0,3680.0,8585.150390625,4600.0,3550.0,8005.31005859375,4730.0,3640.0,8322.91015625,193122000.0,226448600.0,5289379840
2018-03-17,,,7916.8798828125,,,7916.8798828125,,,8346.5302734375,,,7812.81982421875,,,8321.91015625,,,4426149888
2018-03-18,,,8223.6796875,,,8223.6796875,,,8245.509765625,,,7397.990234375,,,7890.52001953125,,,6639190016
2018-03-19,4329.27099609375,3162.461669921875,8630.650390625,4670.0,3690.0,8630.650390625,4675.0,3720.0,8675.8701171875,4640.0,3670.0,8182.39990234375,4660.0,3690.0,8344.1201171875,74200000.0,90107600.0,6729110016
2018-03-20,4315.365234375,3205.3134765625,8913.4697265625,4655.0,3740.0,8913.4697265625,4660.0,3740.0,9051.01953125,4600.0,3660.0,8389.8896484375,4655.0,3720.0,8619.669921875,89683500.0,105284400.0,6361789952
2018-03-21,4333.90673828125,3265.306396484375,8929.2802734375,4675.0,3810.0,8929.2802734375,4705.0,3820.0,9177.3701171875,4655.0,3740.0,8846.330078125,4670.0,3750.0,8937.48046875,67617500.0,134110400.0,6043129856
2018-03-22,4347.8115234375,3145.321044921875,8728.4697265625,4690.0,3670.0,8728.4697265625,4700.0,3800.0,9100.7099609375,4670.0,3660.0,8564.900390625,4695.0,3800.0,8939.4404296875,60791500.0,144557000.0,5530390016
2018-03-23,4412.7041015625,3085.32861328125,8879.6201171875,4760.0,3600.0,8879.6201171875,4760.0,3600.0,8879.6201171875,4600.0,3450.0,8360.6201171875,4600.0,3560.0,8736.25,62978000.0,196695900.0,5954120192
2018-03-24,,,8668.1201171875,,,8668.1201171875,,,8996.1796875,,,8665.7001953125,,,8901.9501953125,,,5664600064
2018-03-25,,,8495.7802734375,,,8495.7802734375,,,8682.009765625,,,8449.099609375,,,8612.8095703125,,,4569880064
2018-03-26,4315.365234375,3085.32861328125,8209.400390625,4655.0,3600.0,8209.400390625,4690.0,3610.0,8530.080078125,4640.0,3540.0,7921.43017578125,4680.0,3580.0,8498.4697265625,100407000.0,89913100.0,5921039872
2018-03-27,4347.8115234375,3085.32861328125,7833.0400390625,4690.0,3600.0,7833.0400390625,4755.0,3670.0,8232.7802734375,4685.0,3570.0,7797.27978515625,4730.0,3660.0,8200.0,66088000.0,102444600.0,5378250240
2018-03-28,4324.6357421875,3042.4765625,7954.47998046875,4665.0,3550.0,7954.47998046875,4690.0,3650.0,8122.89013671875,4630.0,3500.0,7809.169921875,4690.0,3640.0,7836.830078125,36212500.0,98368300.0,4935289856
2018-03-29,4320.0009765625,3085.32861328125,7165.7001953125,4660.0,3600.0,7165.7001953125,4665.0,3600.0,7994.330078125,4565.0,3520.0,7081.3798828125,4630.0,3590.0,7979.06982421875,77650500.0,130860500.0,6361229824
2018-03-30,4320.0009765625,3085.32861328125,6890.52001953125,4660.0,3600.0,6890.52001953125,4660.0,3600.0,7276.66015625,4660.0,3600.0,6683.93017578125,4660.0,3600.0,7171.4501953125,0.0,0.0,6289509888
2018-03-31,,,6973.52978515625,,,6973.52978515625,,,7207.85009765625,,,6863.52001953125,,,6892.47998046875,,,4553269760
2018-04-01,,,6844.22998046875,,,6844.22998046875,,,7060.9501953125,,,6526.8701171875,,,7003.06005859375,,,4532100096
2018-04-02,4338.54150390625,3170.800048828125,7083.7998046875,4680.0,3600.0,7083.7998046875,4695.0,3600.0,7135.47021484375,4620.0,3490.0,6816.580078125,4690.0,3500.0,6844.85986328125,37162500.0,69286700.0,4333440000
2018-04-03,4338.54150390625,3170.800048828125,7456.10986328125,4680.0,3600.0,7456.10986328125,4700.0,3600.0,7530.93994140625,4665.0,3530.0,7072.490234375,4675.0,3530.0,7102.259765625,56261000.0,45524700.0,5499700224
2018-04-04,4320.0009765625,3073.91455078125,6853.83984375,4660.0,3490.0,6853.83984375,4700.0,3600.0,7469.8798828125,4605.0,3460.0,6803.8798828125,4700.0,3600.0,7456.41015625,49877000.0,88879000.0,4936000000
2018-04-05,4273.6484375,3056.299072265625,6811.47021484375,4610.0,3470.0,6811.47021484375,4700.0,3540.0,6933.81982421875,4610.0,3470.0,6644.7998046875,4700.0,3510.0,6848.64990234375,22521500.0,80015200.0,5639320064
2018-04-06,4213.390625,3065.106689453125,6636.31982421875,4545.0,3480.0,6636.31982421875,4625.0,3490.0,6857.490234375,4520.0,3450.0,6575.0,4625.0,3470.0,6815.9599609375,47941500.0,67557000.0,3766810112
2018-04-07,,,6911.08984375,,,6911.08984375,,,7050.5400390625,,,6630.509765625,,,6630.509765625,,,3976610048
2018-04-08,,,7023.52001953125,,,7023.52001953125,,,7111.56005859375,,,6919.97998046875,,,6919.97998046875,,,3652499968
2018-04-09,4222.66064453125,3109.1455078125,6770.72998046875,4555.0,3530.0,6770.72998046875,4580.0,3530.0,7178.10986328125,4515.0,3480.0,6661.990234375,4570.0,3530.0,7044.31982421875,51013000.0,48595300.0,4894060032
2018-04-10,4320.0009765625,3153.184326171875,6834.759765625,4660.0,3580.0,6834.759765625,4690.0,3630.0,6872.41015625,4560.0,3530.0,6704.14990234375,4575.0,3540.0,6795.43994140625,79533500.0,85668600.0,4272750080
2018-04-11,4324.6357421875,3214.839111328125,6968.31982421875,4665.0,3650.0,6968.31982421875,4730.0,3670.0,6968.31982421875,4660.0,3630.0,6817.58984375,4700.0,3650.0,6843.47021484375,41891500.0,87702400.0,4641889792
2018-04-12,4292.189453125,3161.9921875,7889.25,4630.0,3590.0,7889.25,4665.0,3670.0,7899.22998046875,4610.0,3570.0,6806.509765625,4665.0,3670.0,6955.3798828125,45957000.0,61989600.0,8906250240
2018-04-13,4278.17822265625,3126.761474609375,7895.9599609375,4580.0,3550.0,7895.9599609375,4630.0,3650.0,8183.9599609375,4580.0,3550.0,7758.93017578125,4620.0,3640.0,7901.08984375,70179500.0,58708000.0,7764460032
